,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
117,Ponta Negra,59092-440,Natal,"iPhone 3GS em estado de Novo. Uma Relíquia!O dock possui Luz Noturna de cabeceira com 3regulagens, lindo mesmo!Bateria perfeita no celular. segura o dia quasetodo.Nunca foram abertos ou realizada algumamanutenção.Aceita todas operadoras de celular.Obs. Só dá pra instalar whatsapp se seguir instruções apartir Google.Vendo apenas juntos! Dock + Iphone 3GsAceito Celular Motorola na troca ",Usado,249,IPhone 3gs + Dock Philips ,Iphone
118,Capim Macio,59082-055,Natal,Tem dúvidas? Entre em contato conosco pelowhatsapp 839967532... ver número37 ou 839871344... ver número90. Tire suasdúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo). Produto lacrado com 1 ano de garantiado fabricante ,Novo,2699,"Samsung Galaxy Note 9 Preto, lacrado, Nota Fiscal + 1 ano de garantia oferta ",Samsung
119,Rocas,59010-288,Natal,vendo Samsung a10 um mês de comprado 790 reaistroco em moto g 7 ,Novo,790,Vendo Samsung a10 completo 790reais ,Samsung
120,Dix Sept Rosado,59054-145,Natal,"j4 core zerado na Caixa , preço de ocasiãointeressados entrar em contato pelo número(84)99476-1374... ver número",Novo,650,J4 core ,Samsung
121,Dix Sept Rosado,59054-145,Natal,"j4 core zero sem uso na Caixa sem uso,interessados entrar em contato pelo número(84)99476-1374... ver número watss ",Novo,650,J4 core zerado ,Samsung
122,Nossa Senhora De Nazaré,59060-300,Natal,"A led acende quando coloca no carregador, mas atela não. Não sei dizer o problema e não tenhointeresse em consertar ",Usado,50,Moto G1 ,Motorola e Lenovo
123,Alecrim,59031-450,Natal,Qlquer coisa e so chamar no pv 981604013... ver número,Usado,850,J8 super novo sem marcas de uso por apenas 850 ,Samsung
125,Cidade Nova,59072-550,Natal,"O Botão Home Não Tá Pegando, Mais Está EmPerfeitamente Estado Vendo Ou Troco Pelo Meu CllrDo Meu Interesse Wpp 986216179... ver número",Usado,300,IPhone 4s ,Iphone
126,Pajuçara,59123-415,Natal,vendo j5 normal ,Usado,550,J5 ,Samsung
127,Igapó,59104-300,Natal,"iPHONE 6s PLUS 64GB DOURADO ACEITO CARTÃO (com acréscimo da maquineta)Semi-novo, iPhone 6s Plus 64GB Dourado emexcelente estado de conservação sem marcas de usofuncionando tudo.Acompanha carregador, película de vidro, fone deouvido e uma capa Anti-impacto.Mais informações WhatsApp 99815-2518... ver número",Usado,1750,IPhone 6s Plus 64GB Dourado. ACEITO CARTÃO ,Iphone
129,Nordeste,59042-140,Natal,vendo moto G7 Polar completo com todos acessóriosna caixa nota fiscal 2 meses de uso impressãodigital duas câmeras traseiras celular top delinha sem marcas de uso carregador turbo compelícula duas capinhas ,Novo,1200,Vendo moto G7 Polar ,Motorola e Lenovo
130,Candelária,59065-600,Natal,"Vendo Impecável Xiaomi Redmi Note 5 Pro 64gb Redmi Note 5 Pro Tela: 5,99 polegadas com resolução Full HD+(2160x1080 pixels)Processador: Snapdragon 636 octa-core de1,8 GHzCortex-A53GPU: Adreno 509Memória RAM: 4 GBArmazenamento interno: 64 GB (suporte para microSDde até 128 GB)Câmera traseira dupla: 12 megapixels, f/2.2,pixels de 1,25 µmCâmera frontal: 13 megapixels com flashBateria: 4.000 mAhConectividade e sensores: WiFi 802.11 a/b/g/n,Bluetooth 4.2, rádio FM, GPS/A-GPS/GLONASS/BDS,infravermelho, sensor biométrico, 3,5 mm, microUSB2.0Dimensões: 158,5x75,5x8,1 milímetrosPeso: 180 gramasAceito Cartão em até 12x com taxa Mais Informações: (84) 99462-0282... ver número",Usado,849,Xiaomi Redmi Note 5 Pro 64gb EM ESTADO DE NOVO ,Outras marcas
131,Quintas,59035-140,Natal,vendo iphone 6S 32GB impecável sem marcas de uso ,Usado,1200,Iphone ,Iphone
132,Alecrim,59037-700,Natal,PRONTA ENTREGA !!!Redmi Note 7 64gb 4gb ram Cores preto e azul R$ 1199 Novos e lacrados -Versão Global -Dual sim-Snapdragon 660-Câmera 48 Megapixel -Bateria 4000 MahNão faço trocas Aceito cartão com taxas Informações wats 988323209... ver número / 994929094... ver número/ 999496712... ver número,Novo,1199,Xiaomi Redmi Note 7 64gb (Novo Lacrado) ,Outras marcas
133,Tirol,59020-510,Natal,"Kit carregador + cabo iPhone original Foxconn comgarantia de 3 meses80,00 dividido no cartão ou 69,00 a vista ",Novo,69,Kit carregador + cabo iPhone original Foxconn ,Acessórios
134,Alecrim,59032-550,Natal,"Relógio inteligente semelhante a um celular!Envie mensagem agora no whatsapp e encomenda seupedido para receber esta promoção: 99676-4387... ver númeroFunções:- Fazer e receber ligações- Enviar e receber mensagens- Calculadora- Pedômetro- Modo sedentário- Receber notificações de Whatsapp e **- Alarme- Anti roubo e anti perda- Cronômetro- Calendário- Câmera 1.3 mp (para fotos)- Gravador de Áudio- Bluetooth- Entrada Sd- Entrada para Chip de operadoraItens incluso:1 Relógio Inteligente1 Bateria1 Cabo USB1 ManualBluetooth Compatível com o celular Samsung, Moto G(Motorola), LG, Nokia, Sony, Xiaomi, iPhone 5/6/7,galaxy S9, Asus, Samsung, Motorola, Xiaomi, Apple,Huawei, Nokia, Microsoft, Sony, LGEntrega Grátis: Lagoa Nova, Dix Sept Rosado,Centro da Cidade, Alecrim Natal shopping/Carrefour, Zona NorteWhatsapp: 99676-4387... ver número(Envie sua dúvida pelo Whatsapp para receber umamensagem mais rápida!) ",Novo,99,Relógio Celular ,Outras marcas
135,Nossa Senhora da Apresentação,59114-220,Natal,"Vendo IPhone 7 Plus, somente 3 meses de uso ",Usado,2100,Vendo IPHONE 7 PLUS ,Iphone
137,Cidade Alta,59025-020,Natal,vendo ou troco k10 2017 aparelho top sem marcas deuso aceito Cartão de crédito whatSApp 988721222... ver número,Usado,399,K10 2017 32gigas ,LG
138,Lagoa Nova,59056-780,Natal,vendo A6 Plus 64gb 4ram aparelho top $780 superconservado acompanha carregador e fone celulartodo funcional mais detalhes 98725-7469... ver número tbm éwatts. ,Usado,780,A6 Plus 64gb 4ram top $780 ,Samsung
139,Cidade Alta,59025-020,Natal,vendo ou troco j7 normal aparelho 16 gigas Pegamdotudo Aceito Cartão de crédito whatsApp 988721222... ver número,Usado,350,J7 normal ,Samsung
140,Alecrim,59030-100,Natal,Carregador ,Usado,800,Apple Watch ,Iphone
141,Cidade Alta,59025-020,Natal,vendo ou troco xaiomi mi A1 64 gigas 4 de ramaparelho top sem defeitos algum aceito Cartão decrédito whatsApp 988721222... ver número,Usado,600,Xiaomi mi a1 64gigas ,Outras marcas
142,Candelária,59064-500,Natal,"vendo ou troco moto g4 plus32 gb obs-câmera de traz não foca, mas tira foto normalobs_ o conector do fone de ouvido esta quebrado ",Usado,250,Moto g4 plus ,Motorola e Lenovo
143,Neópolis,59088-510,Natal,OFERTA. - OFERTA - Xiaomi Mi 8 Lite 64GB Preto e Azul LacradoVersão Global Aparelho Original. - Configurações Do Aparelho. - Versão Global - Tela 6.18 Polegadas - Camera Dupla 12MP+5MP- Frontal 24MP - Dual Chip 4G - Leitor Biométrico - Memória interna 64GB 4GB RAM - Processador Snapdragon(660)- Maiores informações Fala No Whatsapp - Whatsapp 9.9631-2285... ver número Tim ,Novo,1199,Xiaomi Mi 8 Lite 64GB Lacrado Azul e Preto. ,HTC
144,Nordeste,59042-250,Natal,Celular funcionando normalmente e muito bemconservado.OBS: É só o aparelho ,Usado,330,Celular k10 2017 32GB ,LG
145,Cidade Alta,59025-250,Natal,vendo moto g3 16 gb ,Usado,280,Moto G3 ,Motorola e Lenovo
146,Nossa Senhora da Apresentação,59115-690,Natal,Vendo celular muito novo sem arranhões películafrontal traseiras o SE versão do 6 ,Usado,1000,Celular ,Iphone
147,Ponta Negra,59100-115,Natal,Biometria parou de funcionar e a antena Wi-Firestante perfeito aparelho estado de novo nãoaceito trocas ,Usado,600,IPhone 6 16 gigas ,Iphone
148,Alecrim,59032-550,Natal,"32 GB memória interna3 GB de RAMProcessador 2.3 GHzCâmera 13MBBateria 3200 ampÓtimo celular com super desempenho, tela intactacom película.lateral bem conservada.Vem com caneta própria da linha Galaxy Note.Bluetooth Compatível com o celular Samsung, Moto G(Motorola), LG, Nokia, Sony, Xiaomi, iPhone 5/6/7,galaxy S9, Asus, Samsung, Motorola, Xiaomi, Apple,Huawei, Nokia, Microsoft, Sony, LGEntrega Grátis: Lagoa Nova, Dix Sept Rosado,Centro da Cidade, Alecrim Natal shopping/Carrefour, Zona NorteWhatsapp: 99676-4387... ver número",Novo,569,Galaxy Note 3 + Caneta ,Samsung
149,Planalto,59073-247,Natal,"Galaxy s7 funciona tudo 100%biométria 100%sem trinco ou aranhões ou marca de usotroco por celular Motorola,z play, z2 play, g6 , g7 modelo do mesmo nível, ",Usado,750,Vendo ou troco por celular ,Samsung
150,Candelária,59064-720,Natal,"iPhone funcionando normalmente e perfeitamente,somente com algumas marcas de uso ",Usado,1200,Iphone 6s 64 gigas ,Iphone
151,Nossa Senhora da Apresentação,59114-012,Natal,"vende-se um j1 conservadissimo,8gigas ",Usado,180,J1mini ,Samsung
152,Barro Vermelho,59022-120,Natal,COM IMPEDIMENTO NA BASE DA ANATEL Funcionando tudo perfeito 128gb Biometria ok Bateria ok ,Usado,1800,IPhone 7 Plus 128 ,Iphone
153,Nova Descoberta,59075-260,Natal,Vendo moto G2 Tv 16 gigas com carregador e bemconservado. chama no whatsapp. 99938-5973... ver número,Usado,290,Moto G2 Tv ,Motorola e Lenovo
154,Igapó,59104-300,Natal,"iPHONE 6s PLUS 64GB PRATA ACEITO CARTÃO (com acréscimo da maquineta)Semi-novo, iPhone 6s Plus 64GB Prata em excelenteestado de conservação sem marcas de usofuncionando tudo.Acompanha carregador, película de vidro com bordasde Titânio, fone de ouvido e uma capaAnti-impacto.Mais informações WhatsApp 99815-2518... ver número",Usado,1750,IPhone 6s Plus 64GB Prata. ACEITO CARTÃO ,Iphone
155,Praia do Meio,59010-000,Natal,iPhone 7 plus de 128gigas GoldSem marcas de uso Acompanha cabo e fonte NÃO TRABALHO COM TROCAS!!!Aceito todos os cartões em até 10x com acréscimo. contatos pelo WhatsApp 84 99107-2774... ver número,Usado,2350,IPhone 7 plus ,Iphone
156,Igapó,59104-300,Natal,"iPHONE 7 32GB DOURADO ACEITO CARTÃO(com acréscimo da maquineta)? Semi-Novo, iPhone 7 32GB Dourado em excelenteestado de conservação sem nenhuma marca de usofuncionando tudo.? Acompanha Caixa, Carregador, Fone de ouvido,Película De vidro e uma capa Anti-impacto.? OBS: A BIOMETRIA FUNCIONA MAS O HOME SÓ OVIRTUAL ? Mais informações WhatsApp 99815-2518... ver número",Usado,1499,Vendo iPhone 7 32GB Dourado. LEIA O ANÚNCIO!!! ACEITO CARTÃO ,Iphone
157,Igapó,59104-000,Natal,IPHONE 7 PLUS 32GB NOVO LACRADO COR ROSE ANATEL GARANTIA DE FÁBRICA UM ANO PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Novo,2849,Iphone 7plus 32gb novo lacrado!! rose um ano de garantia ,Iphone
158,Igapó,59104-000,Natal,IPHONE 8 64GB NOVO LACRADO COR TODAS ANATEL GARANTIA DE FÁBRICA UM ANO PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Novo,2849,Iphone 8 64gb novo lacrado! anatel todas as cores um ano de garantia ,Iphone
159,Ponta Negra,59092-220,Natal,"IPhone 6 de 64gb dourado com pequenas marcas deuso, funcionando perfeitamente.Valor p pagamento à vista Dividimos no lá cartões com acréscimo ",Usado,1200,6 de 64 gold ,Iphone
160,Dix Sept Rosado,59052-800,Natal,vendo asus do meu uso bateria boa 16 gb.trincadotem qui trocar a frente pq as vezestrava.98869.8340... ver número zap ou ligar ,Usado,150,So vendo asus max 3 ,Asus
161,Igapó,59104-000,Natal,IPHONE XR 64GB NOVO LACRADO COR PRETONOTA FISCALANATEL GARANTIA DE FÁBRICA UM ANO PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Novo,3849,Xr 64gb preto novo lacrado! anatel um ano de garantia ,Iphone
162,Pitimbu,59069-400,Natal,Vendo iPhone 6S 16GbNunca usado. Whatsapp 987504498... ver número,Novo,1300,IPhone 6S Gold ,Iphone
163,Pitimbu,59067-400,Natal,"Fone de ouvido de alta qualidade 3.5mm de OuvidoCom Fio do Fone de Ouvido Mp3 fone de ouvido DoTelefone Móvel.Fones de ouvido Das Criançasuso: para: computador, PC, para a samsung, paraxiaomi, para Huawei, lg etc todos com 3.5mm deáudio plug. ",Novo,10,Fone de ouvido Minions ,Acessórios
164,Igapó,59104-000,Natal,IPHONE XS 64GB NOVO LACRADO COR PRETONOTA FISCALANATEL GARANTIA DE FÁBRICA UM ANO PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Novo,5000,Xs 64gb novo lacrado! space gray um ano de garantia ,Iphone
165,Lagoa Azul,59129-750,Natal,j7 prime em perfeito estado o mais novo de natal ,Novo,515,J7 prime ,Samsung
166,Igapó,59104-000,Natal,SAMSUNG GALAXY S9 128GB SEMINOVO COR PRATA NOTA FISCALGARANTIA DE FÁBRICA ATÉ NOVEMBROPARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Usado,1699,Galaxy s9 128gb prata bem conservado completo com nota e garantia ,Samsung
167,Nossa Senhora da Apresentação,59114-012,Natal,"vende-se um j5 metal bemconservado,16gigas,funcionando tudo ",Usado,320,J5 metal ,Samsung
168,Igapó,59104-000,Natal,"SAMSUNG GALAXY S8 128GB SEMINOVO COR PRETONOTA FISCAL, CAIXA E CARREGADOR GARANTIA DE 03 MESES PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ",Usado,1599,S8 128gb preto seminovo extra perfeito funcionamento ,Samsung
169,Planalto,59073-220,Natal,"9 meses de uso ,sem nenhum defeito interno,16GB,película ",Usado,450,IPhone 5s semi-novo ,Iphone
170,Igapó,59104-210,Natal,pra vende logo sem marcas de uso 1 mês de uso  motivo da venda ganhei outro e to vendendo esse  analiso troca em xbox  valor 1.000$  falar no meu zap 849889226... ver número19 nilton ,Usado,1000,Redmi note 7 64 gb ,Outras marcas
171,Igapó,59104-000,Natal,MOTOROLA G7 PLUS 64GB NOVO LACRADO COR ÍNDIGO NOTA FISCALGARANTIA DE FÁBRICA PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Novo,1400,Motorola g7 plus novo! lacrado! nota fiscal + garantia ,Motorola e Lenovo
172,Igapó,59104-000,Natal,SAMSUNG GALAXY S9 128GB NOVO LACRADO COR PRETONOTA FISCALGARANTIA DE FÁBRICA PARCELAMOS NO CARTÃO! (C/Acréscimo)EFETUAMOS TROCAS ! (84)99911-2927... ver número tim/WhatsApp  Atendimento rápido ,Usado,2199,S9 128gb preto novo lacrado! nota fiscal e garantia de fábrica ,Iphone
173,Tirol,59020-265,Natal,Sem marcas de uso!Funcionando perfeitamente ,Usado,1600,IPhone 7 32gb ,Iphone
174,Nossa Senhora De Nazaré,59062-390,Natal,"ta bom todo , so que caiu o vidro quebro um poucoai tem cantos na tela que nao ta pegando mas eleta bom todo , bateria bom e etc ACEITO CARTÃO ",Usado,185,Vende se este k4 ,LG
175,Cidade Alta,59025-100,Natal,aparelho em otimo estado 8GB ,Usado,250,IPhone 4s ,Iphone
176,Lagoa Seca,59032-220,Natal,APARELHO EM ÓTIMO ESTADO ACOMPANHA CARREGADOR FONECAIXAAPENAS VENDA!!!Whats: 999858736... ver númeroJÁ É O MENOR VALOR!!! ,Usado,1000,Iphone 6s 32 ,Iphone
177,Candelária,59066-100,Natal,"Semi novo, sem marca de uso, bateria e biometria100%Acompanha todos os acessórios Memória de 64GB, cor Space Gray Parcelo no cartão em até 12x com acréscimos damaquinetaFaço entrega WhatsApp 99153-2584... ver número",Usado,1149,IPhone 6 64GB ACEITO CARTÃO ,Iphone
178,Capim Macio,59082-060,Natal,"Galaxy J8 plus 64g de memória tela de 6 polegadas4 giga de ram o Galaxy mas top da linha J .# obs : aparelho em estado de zero # valor : 1,100 # aparelho completo na garantia comprado dia29/11/18 # aceito trocas # contato : 84-99985-0809... ver número whatsapp# acompanha nota fiscal,caixa, carregador, cabo dedados, fone de ouvido, manual , chave de abrigaveta do chip , capa de proteção, película devidro. ",Usado,1100,Galaxy J8 plus 64g uma super tela de 6 polegadas super amoled ,Samsung
179,Cidade Nova,59072-450,Natal,todo bom funcionamento normal ,Usado,300,Troco por outro mais avançado com volta minha!!! ,LG
180,Lagoa Seca,59022-300,Natal,"Carcaça iphone 7 red. Nova nunca usada, motivo davenda comprei a carcaça e depois quis colocaroutra cor ! ",Novo,200,IPhone 7 ,Iphone
181,Ponta Negra,59090-565,Natal,"celular liga quase que normalmas a tela nao acendemas responde ao toque esquin.só vendo, nao troco ",Usado,180,Vendo como sucata. Samsung S6 edge ,Samsung
182,Alecrim,59030-100,Natal,Para trocar em iPhone 7plus ,Usado,2,Iphone 6s 32gb + Apple Watch ,Iphone
183,Potengi,59129-000,Natal,aparelho semi-novo64gb memória internapelículacarregadorcaixa ,Usado,800,Celular Samsung Galax A8 ,Samsung
184,Nossa Senhora da Apresentação,59114-230,Natal,vende- se um lg k9 tv 2 meses de uso vai com todosos assessórios ,Usado,450,Vendo um k9 dois meses de uso ,LG
185,Lagoa Nova,59056-100,Natal,"Vendo iPhone 8 Plus branco, sem detalhes,estado dezero, completo com caixa e nota fiscal, apenas 5meses de uso, garantia Apple até o final defevereiro ",Usado,3200,IPhone 8 Plus 64gb ,Iphone
186,Potengi,59108-550,Natal,bem conservado em perfeito estado na caixa ,Usado,350,Moto c plus ,Motorola e Lenovo
187,Cidade Alta,59025-380,Natal,SOMENTE VENDA ( Aceito cartão ) Vendo iPhone 5s-16g Acompanha carregador ( apenas a fonte éoriginal ) Apresenta marcas de uso. Funcionandonormalmente. Tel para contato: 998456504... ver número,Usado,450,Vendo ,Iphone
188,Lagoa Nova,59075-200,Natal,iPhone 7 32Gb ,Usado,1500,IPhone 7 32GB ,Iphone
189,Pitimbu,59067-400,Natal,"Só venda! Olhe as fotos!S8 Plus funcionando tudo, está com a tela quebradae tampa traseira, mais da para usar normalmente. ",Usado,650,S8 plus ,Samsung
190,Nossa Senhora da Apresentação,59115-042,Natal,Tudo perfeito - Sem trincos - Capinha - ( APENAS ACÂMERA FRONTAL DESAPARECEU) de resto tudoperfeito! ,Usado,170,Moto G2 ( Leia a descrição) ,Motorola e Lenovo
191,Nossa Senhora da Apresentação,59115-590,Natal,"Pouco tempo de uso, sem marcas de uso,identificador de chamadas, aceito cartão. ",Usado,100,Telefone sem fio digital ,Outras marcas
192,Potengi,59127-410,Natal,K10 estado de zero 16 GB tela de 5.2 2 DE RAMfrontal de 8 traseira de 13 vendo ou troco emcelula inferior com volta do interessado emperfeito estado chama no zap 98849-7419... ver número aceitocartão com acréscimo da maquininha vai com umacapa nova antipacto ,Novo,270,K10 ,LG
193,Candelária,59064-500,Natal,Pulseira milanese Apple Watch ,Novo,60,Pulseira milanese Apple Watch 38mm ,Iphone
194,Potengi,59124-003,Natal,Produto novo com Garantia de 3 meses Entrega grátis pela ZN de NatalAceitamos Cartões ,Novo,30,Carregador Rápido 3.1 ,Acessórios
195,Capim Macio,59078-000,Natal,"Apple iPhone 732GBCor: Preto Black Piano (acabamento brilhoso)Estado: usado em perfeito estado (sem defeitos)Nunca precisou de conserto nem apresentouproblemasBiometria funcionando perfeitamenteTela 100% (não está trincada, sempre usoupelícula).Pagamento à vista, em espécie (não faço troca)Aceito cartão (com acréscimo) qualquer bandeira.Dúvidas é só chamar no chat. ",Usado,1400,Apple iPhone 7 ,Iphone
197,Lagoa Seca,59022-300,Natal,"Carcaça iphone 7 red. Nova nunca usada, motivo davenda comprei a carcaça e depois quis colocaroutra cor ! ",Novo,200,IPhone 7 ,Iphone
198,Ponta Negra,59090-565,Natal,"celular liga quase que normalmas a tela nao acendemas responde ao toque esquin.só vendo, nao troco ",Usado,180,Vendo como sucata. Samsung S6 edge ,Samsung
